1677343758.476694 client started (55706): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1677343758.476764 on Darwin 22.3.0 Darwin Kernel Version 22.3.0: Mon Jan 30 20:39:46 PST 2023; root:xnu-8792.81.3~2/RELEASE_ARM64_T6020
1677343758.476802 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1677343758.480263 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480268 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480273 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480277 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480281 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480286 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480290 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480294 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480299 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480303 sending message 112 to peer 0x120008000 (8 bytes)
1677343758.480307 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480312 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480316 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480321 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480325 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480330 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480334 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480339 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480343 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480348 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480352 sending message 112 to peer 0x120008000 (10 bytes)
1677343758.480366 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480370 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480375 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480380 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480384 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480389 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480394 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480398 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480402 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480407 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480411 sending message 112 to peer 0x120008000 (10 bytes)
1677343758.480415 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480420 sending message 112 to peer 0x120008000 (12 bytes)
